bin_index,AR2020041203A09,BHJ2020032301B05,CF2020031901A15,CJY2020032201A44,DWW2020112901A12,DZG2020032002A37,FRB2020030303B03,HWJ2020032001B21,HWJ2020032002B13,HYM2020032002A25,CLY20220515A02,KS2020033102A06,RL4B,SXP2020040102B14,TS2020042403A16,WM2020041202B05,WPH20211228,WYG2020032702A04,WYJ2020032101B21,XYX2022041601A15
1,3,1,8,32,12,6,14,0,1,0,16,5,0,1,26,1,9,0,18,1
2,4,1,14,14,10,6,9,0,0,0,15,2,0,1,15,2,7,0,16,3
3,4,0,18,12,8,8,9,1,0,0,20,12,0,5,16,1,7,3,12,1
4,8,2,13,13,15,15,9,1,0,3,17,11,0,7,13,9,9,2,16,15
5,18,11,12,10,15,9,13,9,2,3,8,9,1,13,6,5,16,3,11,17
6,22,19,6,1,6,19,15,13,1,2,6,15,6,15,4,12,11,11,10,16
7,8,17,6,4,10,16,8,10,11,19,3,10,19,16,6,11,15,7,8,16
8,9,12,7,5,4,6,7,23,20,19,5,11,22,15,4,17,5,17,5,11
9,6,7,1,7,3,5,2,9,16,11,7,7,14,7,6,14,4,20,4,6
10,4,9,4,3,6,6,2,16,17,18,3,5,18,4,3,9,4,10,1,5
11,7,5,6,0,7,5,4,7,14,10,0,5,4,4,2,9,3,12,0,7
12,1,7,5,0,2,0,5,5,6,8,1,7,8,6,0,6,3,8,0,3
13,3,6,1,0,3,0,4,4,7,5,0,2,8,7,0,5,6,5,0,0
14,4,3,0,0,0,0,0,3,5,3,0,0,3,0,0,0,2,3,0,0
15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1
18,2,2,1,1,0,0,2,1,0,0,1,2,0,2,1,2,1,2,1,0
19,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
