bin_index,g10117,g10150,g10722,g10885,g11417,g11582,g11803,g12376,g12378,g12699,g12957,g13333,g13452,g13694,g13856,g14309,g14393,g14462,g14471,g14650,g15470,g15590,g15639,g16100,g16193,g16258,g16573,g16852,g17091,g17171,g17259,g17615,g17619,g17709,g17804,g17909,g18037,g18331,g18699,g18814,g18821,g18876,g19810,g20539,g21740,g22146,g22170,g22623,g22632,g22831,g22912,g23311,g23858,g23863,g24017,g24272,g24820,g24888,g24937,g25572,g25723,g25973,g26048,g26126,g26289,g26506,g26766,g27176,g27436,g27510,g27754,g28414,g29025,g29330,g29331,g4961,g4981,g5226,g5584,g5709,g5851,g5902,g6091,g6458,g6569,g6823,g7091,g7283,g7343,g7625,g7695,g8342,g8549,g8588,g8664,g8732,g9128,g9341,g9398,g9405,g9597,g9741,g9744
1,0,1,4,1,2,0,0,1,4,0,0,1,0,0,3,0,4,3,3,4,2,0,1,0,0,4,0,2,0,3,4,0,1,0,0,3,2,0,1,1,2,1,0,0,3,2,0,0,4,0,4,1,0,0,0,3,4,2,4,0,4,1,0,0,4,4,3,2,3,0,2,0,0,0,0,2,1,0,0,0,3,0,0,3,2,2,1,3,0,2,0,2,2,0,4,2,1,2,3,4,3,0,4
2,0,0,2,0,2,0,3,2,4,0,0,1,0,0,1,0,0,5,1,2,2,3,1,0,0,1,0,3,2,1,0,0,1,0,1,2,1,0,1,2,3,0,0,3,3,1,2,0,2,1,2,0,0,0,1,0,2,1,0,0,0,0,0,0,5,2,3,4,0,0,2,2,1,0,0,2,4,0,0,0,1,1,1,3,1,2,2,0,0,1,0,2,1,0,1,4,0,3,3,0,2,0,1
3,0,0,4,1,1,0,0,1,1,2,0,1,0,0,2,0,3,0,3,1,0,3,1,0,0,1,0,2,1,3,5,1,1,0,3,1,1,0,1,2,0,1,1,0,4,1,1,0,3,2,0,2,0,0,1,4,4,2,1,0,0,0,3,0,1,2,2,0,1,1,2,2,0,0,0,2,1,2,0,2,2,1,1,1,5,1,3,1,0,3,0,2,4,2,1,1,1,1,1,1,5,0,6
4,1,1,2,5,1,0,4,1,1,5,0,0,0,2,3,0,4,1,2,3,1,1,1,0,1,3,0,7,0,2,2,1,1,3,3,2,2,0,1,1,1,4,0,2,2,1,5,0,2,0,0,1,0,0,1,2,2,2,3,0,5,0,0,0,0,5,4,6,0,2,6,3,0,0,0,1,2,0,0,1,1,1,0,3,3,3,2,6,3,2,0,3,4,2,3,3,0,1,1,2,1,0,0
5,0,0,0,1,4,0,5,1,1,2,2,2,0,0,3,1,4,0,2,4,3,1,4,0,0,1,0,0,2,3,3,2,1,1,3,0,3,0,5,2,0,3,2,1,4,2,3,1,3,4,1,5,1,0,1,1,4,3,4,0,4,0,3,0,0,2,0,1,3,3,0,4,4,0,0,3,2,1,0,1,3,3,1,3,0,2,4,0,1,1,0,2,2,3,1,5,1,3,2,6,3,0,2
6,1,1,4,0,0,0,3,2,1,2,0,4,0,0,2,0,1,2,2,2,5,5,3,0,2,5,0,4,1,2,2,2,2,2,5,2,3,0,2,4,0,3,1,2,1,5,5,0,2,4,2,6,2,0,5,2,2,2,3,0,0,2,3,0,4,1,3,3,4,1,5,4,0,0,0,2,2,0,0,0,2,5,1,3,3,1,1,2,0,3,4,2,4,2,2,2,1,2,2,2,1,0,4
7,1,1,2,7,5,4,1,5,0,4,0,5,1,0,3,1,1,0,2,0,1,2,5,0,1,1,1,1,5,4,3,1,5,4,2,3,4,1,3,2,5,1,3,2,0,0,0,0,1,4,4,3,1,0,3,2,0,2,2,1,1,4,3,0,1,1,2,2,3,2,2,3,4,0,0,3,3,0,0,3,2,1,1,2,0,4,2,2,1,1,2,2,2,1,1,1,2,4,2,2,1,2,0
8,0,1,1,2,1,2,2,1,2,3,0,3,1,4,2,2,1,3,1,1,2,1,2,3,2,1,1,0,5,1,0,5,3,3,1,3,2,1,3,2,3,1,3,3,0,5,1,0,1,1,4,0,2,2,5,5,1,3,0,0,3,2,3,0,2,2,1,1,0,5,0,0,2,0,0,2,0,2,0,4,3,5,1,0,2,3,4,2,6,6,4,1,0,5,4,1,7,1,4,1,0,0,2
9,2,3,0,1,1,1,0,3,1,0,1,0,4,0,0,3,1,5,2,2,3,3,1,3,0,1,3,0,1,0,0,3,2,2,1,1,1,2,2,0,1,3,2,2,1,2,1,3,0,0,2,0,8,2,1,0,0,1,1,2,2,6,4,2,1,0,1,0,0,1,0,1,4,0,0,0,3,1,0,3,1,1,3,1,0,1,0,2,1,0,2,2,0,3,1,0,2,1,1,1,0,2,0
10,5,6,0,1,1,6,1,1,1,0,3,1,2,4,0,4,0,0,1,0,0,0,0,0,4,1,1,0,2,0,0,2,2,2,0,1,0,1,0,2,3,2,5,3,1,0,1,2,1,2,0,1,3,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,4,2,0,0,2,0,0,2,1,2,5,2,1,1,4,0,2,0,0,1,2,0,6,1,0,1,1,0,1,1,0,0,2,1,0
