bin_index,AR2020041203A09,BHJ2020032301B05,CF2020031901A15,CJY2020032201A44,DWW2020112901A12,DZG2020032002A37,FRB2020030303B03,HWJ2020032001B21,HWJ2020032002B13,HYM2020032002A25,CLY20220515D02,KS2020033102A06,SXP2020040102B14,TS2020042403A16,WM2020041202B05,WPH20211228,WYG2020032702A04,WYJ2020032101B21,XYX2022041601A15,RL4B
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,3,1,3,1,0,0,0,5,0,0,1,0,0,0,5,0,0
3,0,0,3,6,2,1,1,0,0,0,5,1,0,7,0,0,0,3,0,0
4,0,0,4,6,3,5,2,0,0,0,4,0,1,6,1,0,0,4,5,0
5,5,0,4,6,5,1,4,2,1,0,5,0,2,4,2,6,1,7,1,0
6,5,5,2,1,3,8,5,1,0,1,4,5,2,3,2,2,2,7,4,1
7,2,4,4,4,5,4,4,3,0,4,2,3,4,5,4,7,0,5,4,2
8,5,4,5,4,2,3,6,4,1,5,4,8,7,4,3,5,6,5,8,6
9,5,2,1,7,2,5,2,3,5,3,7,5,4,5,5,3,3,3,4,7
10,4,7,3,3,6,5,2,9,6,6,3,4,4,3,6,3,5,1,4,5
11,6,2,6,0,6,5,4,6,10,5,0,5,3,2,6,3,8,0,7,2
12,1,6,5,0,2,0,5,5,4,8,1,7,6,0,6,3,7,0,3,8
13,3,6,1,0,3,0,4,4,7,5,0,2,7,0,5,6,5,0,0,8
14,4,3,0,0,0,0,0,3,5,3,0,0,0,0,0,2,3,0,0,3
15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0
18,2,2,1,1,0,0,2,1,0,0,1,2,2,1,2,1,2,1,0,0
19,0,0,1,1,2,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
