bin_index,AR2020041203A09,BHJ2020032301B05,CF2020031901A15,CJY2020032201A44,DWW2020112901A12,DZG2020032002A37,FRB2020030303B03,HWJ2020032001B21,HWJ2020032002B13,HYM2020032002A25,CLY20220515A02,KS2020033102A06,RL4B,SXP2020040102B14,TS2020042403A16,WM2020041202B05,WPH20211228,WYG2020032702A04,WYJ2020032101B21,XYX2022041601A15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,3,1,0,1,0,0,0,4,0,0,0,3,0,0,0,4,0
3,0,0,2,4,3,4,0,0,0,0,3,1,0,0,2,0,1,0,4,0
4,0,0,7,7,2,2,3,0,0,0,8,0,0,2,8,0,1,0,3,1
5,4,1,5,6,6,3,7,2,1,0,5,0,0,1,7,2,4,0,5,4
6,6,4,4,4,5,2,3,1,0,2,4,4,1,3,2,3,4,3,8,2
7,3,5,2,3,4,10,6,1,1,4,3,6,2,3,4,4,6,0,6,6
8,5,5,5,5,3,8,6,4,1,6,3,9,5,7,5,3,7,6,6,9
9,7,2,3,7,3,3,3,6,5,4,5,5,9,7,4,8,3,5,6,6
10,4,9,1,5,5,5,1,9,9,7,5,4,7,1,6,7,3,6,2,3
11,4,2,7,0,5,2,4,6,8,5,3,4,3,7,3,5,3,8,0,5
12,4,4,5,0,4,5,6,8,6,9,0,8,4,5,0,5,3,8,0,8
13,2,7,1,0,3,0,4,4,7,6,1,3,9,6,0,6,4,5,0,0
14,4,4,1,0,0,0,0,3,5,1,0,0,6,2,0,1,4,3,0,0
15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
18,1,2,1,1,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,1
19,1,0,1,0,2,0,2,0,0,0,1,2,0,1,2,0,1,0,2,1
20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
