bin_index,CJY2020032201A18,CZY2020022401A01,DL2021040202A11,DWW2020112903A21,FRB2020032303B24,HSW2020031901A41,CLY20220515D02,JWK2020032803B08,JWY2020032802B10,KH2020121803B18,KH2020121803B29,KS2020033102A09,LD2020032201A23,LH2020032303A21,LHA2020072506_06,LHA2020073155_02,LHA20210713_11_17,LHC2020032003B02,LT2020032203A41,LXH2020032301A09,MMY2020032201A05,MW2020032702A09,MZH2020032801B02,RDP2020031902A10,RZ4A,SC2020032402A05,SC2020032402A08,SRZ2020032201B46,SXP2020040101A38,TS2020042403A02,WK2020032001B14,WL2020032803B01,WM20200412B11,WYH2020031101B01,WYH2020032502A14,X2020031901A10,YDJ2020032102A16,YHL2020032401A16,YWK2021051602A06,ZGR2020032702B05,ZJ2020120403B13,ZJ2020121003B18,ZLW2020032803B42,ZW2020032201A14,ZYJ2020032701A15
1,76,22,57,106,0,43,92,1,100,0,26,1,0,1,0,0,0,0,152,0,2,15,0,63,0,17,18,9,0,0,3,1,3,8,94,125,30,3,0,0,0,8,0,9,1
2,69,19,64,47,1,31,71,3,50,2,3,1,4,5,0,0,2,0,56,0,2,3,3,11,1,13,10,6,1,1,5,3,1,17,38,73,25,4,0,0,3,2,2,16,4
3,42,17,40,28,2,20,34,4,27,10,6,0,8,5,1,0,8,7,36,5,20,5,2,7,13,9,17,12,5,3,11,7,9,30,33,23,28,10,2,1,12,13,9,31,11
4,27,39,29,17,11,15,26,17,27,20,10,8,27,16,7,6,11,10,13,10,21,11,10,22,32,12,20,23,3,7,24,17,26,28,15,13,19,12,9,5,14,26,16,32,25
5,13,41,24,24,23,22,17,25,18,34,18,21,25,29,17,26,15,23,12,20,20,23,17,17,40,23,30,16,24,27,40,19,37,28,22,19,29,29,17,15,20,32,26,48,44
6,17,41,15,14,43,27,14,37,12,38,26,36,29,53,38,42,44,52,4,40,47,30,26,22,42,30,35,48,38,51,67,29,38,32,13,7,30,42,43,46,52,32,37,37,41
7,8,39,19,9,56,38,8,39,13,55,43,38,54,56,59,45,55,61,4,64,51,31,52,27,53,36,29,36,56,54,45,40,49,42,16,7,29,57,63,65,38,32,43,33,47
8,6,30,8,8,57,24,3,47,11,33,40,60,42,51,50,44,73,43,5,45,32,36,63,37,49,38,45,33,63,45,44,35,42,33,14,2,28,40,42,47,41,40,48,23,39
9,7,16,8,9,43,25,2,39,5,33,36,42,34,26,45,49,40,31,2,41,38,29,37,32,23,32,21,36,35,37,17,48,31,15,14,1,25,31,32,44,35,25,41,16,27
10,5,8,7,2,23,17,3,20,3,28,28,32,25,21,34,31,18,32,0,18,17,42,34,20,11,28,12,26,23,26,6,28,19,18,5,4,20,20,31,28,25,26,27,13,20
11,2,5,3,3,6,12,4,25,4,11,29,19,16,4,12,16,6,6,0,16,14,27,19,4,9,12,22,12,14,12,4,24,12,8,8,1,10,13,20,11,17,17,18,7,8
12,3,5,4,7,9,5,3,7,3,6,8,14,8,6,10,10,8,7,0,9,7,13,6,8,9,17,13,9,13,5,10,15,4,8,2,5,6,13,9,7,13,11,4,5,4
13,4,2,4,1,8,3,3,8,1,7,5,7,7,7,6,7,4,7,0,8,6,12,8,4,2,12,6,10,5,10,7,11,4,7,4,3,2,4,7,5,8,10,7,9,9
14,3,0,1,5,2,2,2,9,4,5,5,3,2,3,2,5,1,4,0,5,6,4,4,6,1,2,4,4,3,4,1,3,7,7,4,1,2,3,6,8,3,5,5,3,2
15,2,0,1,3,0,0,1,1,4,1,2,2,3,1,3,4,0,1,0,3,1,4,5,3,1,2,2,3,1,4,0,3,1,2,0,0,1,2,4,3,3,5,1,2,2
16,0,0,0,1,0,0,1,4,1,2,1,1,0,0,2,1,1,0,0,2,0,1,0,3,0,2,0,1,0,0,0,3,1,1,2,0,0,1,1,1,1,2,0,0,0
17,0,0,0,1,1,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,2,2,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,1
18,1,1,1,1,1,2,1,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2,2,1
19,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
