bin_index,g10037,g10055,g10234,g10255,g10438,g10585,g10586,g10588,g10632,g10664,g10706,g10937,g11201,g1127,g11282,g11595,g11652,g12214,g12220,g12244,g12404,g1246,g12528,g12786,g12834,g13045,g13068,g13450,g13649,g1365,g13765,g1385,g1409,g14199,g14289,g1437,g1443,g1455,g14874,g1510,g15131,g15146,g15192,g15423,g15480,g15724,g15745,g15767,g16038,g16441,g16683,g16962,g1699,g17027,g17126,g17366,g17371,g17417,g17589,g17746,g17885,g18220,g18330,g18387,g18628,g18641,g18647,g18649,g1871,g1874,g18759,g19129,g19189,g19192,g19202,g1927,g19345,g19356,g19361,g19392,g19438,g19464,g19821,g20538,g20708,g20710,g20716,g20731,g20785,g20923,g21181,g21371,g21850,g21917,g22200,g22247,g22319,g22495,g22546,g22548,g22794,g23081,g23205,g23217,g23222,g23334,g23429,g23576,g23616,g23638,g23652,g23719,g24028,g24189,g24264,g24282,g24350,g24352,g24536,g24697,g24845,g25062,g25063,g25254,g25327,g25455,g25772,g25892,g25925,g25979,g26224,g26241,g26312,g26321,g26324,g26398,g26589,g26892,g27065,g2713,g27518,g27723,g27866,g27938,g27948,g28204,g28954,g29154,g29157,g29313,g29458,g29693,g29701,g30360,g30560,g31116,g31441,g31905,g32013,g32141,g32538,g3265,g33056,g33496,g34590,g3496,g35606,g35709,g36660,g36665,g36789,g36849,g37097,g37357,g37363,g3773,g38258,g3884,g38986,g39156,g39159,g39213,g39498,g39578,g3982,g39936,g3996,g39982,g40247,g40417,g40465,g4127,g4156,g4205,g42185,g42859,g43279,g43607,g43709,g43741,g44374,g44474,g4519,g4538,g47,g47128,g47313,g47363,g47750,g4782,g48544,g4884,g4888,g49461,g49462,g49463,g49544,g50548,g50577,g52195,g53161,g53623,g53639,g5436,g5472,g5476,g5516,g55300,g5540,g5542,g5684,g5700,g5775,g5860,g598,g6069,g6071,g6073,g6078,g6181,g6182,g6207,g622,g636,g6397,g640,g6581,g6640,g671,g674,g6760,g6788,g688,g6941,g703,g7056,g7090,g7100,g7158,g7262,g7267,g7643,g7644,g785,g792,g8118,g8136,g8140,g8182,g8323,g8324,g8328,g8353,g8393,g8414,g8909,g8986,g9474,g9629,g9735,g9789,g9862,g9865,g9893,g9897,g9941
1,0,1,8,0,8,0,0,9,2,4,2,5,1,1,7,1,8,9,0,6,0,3,0,8,8,4,0,0,4,0,3,6,2,8,9,9,0,0,0,9,9,4,4,0,0,5,9,9,9,0,5,5,7,0,0,7,0,5,4,0,7,0,0,4,9,2,0,8,0,0,0,3,7,0,3,9,9,1,8,9,0,1,9,1,4,0,0,5,0,9,8,2,1,1,3,0,7,3,2,0,9,9,0,0,5,7,2,7,0,0,0,7,9,0,7,8,9,2,5,0,2,5,1,7,4,1,5,6,5,0,1,0,0,4,6,1,7,8,4,6,6,0,7,7,6,1,7,9,8,5,1,5,3,5,0,1,2,1,0,6,8,1,1,7,7,2,6,7,6,8,8,1,1,3,5,1,9,0,8,1,1,9,0,0,5,0,5,1,7,0,8,0,0,2,0,2,3,7,0,0,3,0,8,1,4,8,2,5,4,9,9,2,0,5,1,6,6,9,2,0,0,6,1,2,0,6,4,0,0,6,3,8,5,7,8,0,0,9,3,1,0,0,1,9,8,2,0,5,0,5,2,0,7,7,8,4,7,9,2,0,8,9,9,6,5,1,1,0,5,4,0,0,7,1,5,8,0,8,7,4,1,3,6,6,4,8
2,2,2,1,1,6,2,0,2,1,4,4,4,0,3,7,2,2,6,0,4,2,1,2,5,4,5,0,0,7,0,3,3,1,4,1,2,0,0,4,0,0,1,2,3,0,5,2,1,1,6,5,5,3,2,5,3,0,1,3,0,3,0,0,3,3,3,0,5,0,0,4,6,3,7,6,1,5,3,1,4,0,2,5,3,6,2,0,3,0,0,2,6,1,3,2,0,3,1,4,4,5,1,0,1,3,1,1,4,0,0,0,4,1,6,3,4,1,2,2,0,5,6,0,2,2,1,5,4,3,0,3,0,1,6,3,4,1,2,0,5,3,0,1,4,3,0,2,1,2,3,2,4,4,2,3,2,4,2,0,1,7,3,3,1,3,4,3,6,2,2,0,7,3,4,5,0,3,0,3,2,0,12,0,0,4,0,2,4,6,2,6,0,0,2,0,1,2,4,1,4,4,0,0,4,1,1,0,1,4,0,2,1,1,4,4,3,4,2,2,0,0,2,3,2,0,2,4,2,0,2,3,3,4,4,2,0,0,2,2,3,1,0,5,2,1,4,4,0,0,2,1,1,3,4,1,0,2,2,5,0,1,6,2,4,7,0,3,0,4,2,0,0,0,4,2,1,0,2,1,3,0,7,4,2,2,3
3,1,2,2,4,5,2,0,5,2,7,2,2,3,2,9,2,1,3,1,4,1,1,1,3,2,2,2,0,4,4,2,3,1,1,1,4,0,1,2,1,3,0,1,1,0,3,2,1,5,2,1,0,3,0,1,1,0,1,3,0,3,0,1,2,8,1,0,0,0,0,2,1,4,1,4,6,13,3,1,2,0,2,1,1,1,6,3,0,0,2,8,1,2,2,3,2,2,3,1,1,3,3,0,0,1,4,2,4,2,1,0,3,4,4,7,6,3,2,2,0,3,1,2,2,3,3,1,1,2,0,2,0,0,2,3,2,0,6,4,2,2,0,1,5,1,0,0,4,4,6,3,4,1,1,0,5,3,3,0,3,2,4,3,1,0,1,2,2,2,1,2,0,5,0,3,0,6,0,1,1,1,11,6,0,10,0,3,6,2,6,0,0,2,2,2,2,2,0,0,1,2,1,2,3,2,3,2,2,0,1,3,3,0,0,5,0,0,2,1,0,0,0,3,2,0,4,1,2,0,0,1,0,5,10,4,1,1,4,2,2,1,2,4,3,4,2,3,5,1,2,2,1,5,1,0,4,2,0,2,0,2,3,14,1,2,0,0,2,0,2,1,1,2,7,2,4,0,5,1,0,2,1,3,1,1,1
4,1,1,2,1,6,0,3,6,3,8,3,5,1,0,5,0,0,7,0,4,2,3,5,6,4,3,0,1,0,4,3,4,0,2,1,8,0,1,2,1,9,3,1,2,0,3,8,3,5,0,3,2,6,1,1,2,0,2,0,2,2,0,2,0,9,0,0,4,0,1,2,0,3,0,3,8,11,0,4,9,0,4,6,3,2,0,1,1,2,4,5,0,2,6,0,2,1,5,3,1,0,6,0,0,2,5,4,8,1,0,0,6,8,1,8,20,5,4,3,0,1,1,3,3,4,4,0,4,2,1,1,0,1,0,2,0,8,3,11,1,2,0,3,3,2,1,2,11,2,11,9,2,0,3,2,1,1,2,0,5,3,2,2,2,4,2,0,0,2,1,5,0,4,1,2,0,12,0,3,2,0,7,1,0,4,0,8,5,5,2,1,1,2,6,0,0,1,1,1,3,0,0,2,1,1,9,1,6,2,6,1,0,1,0,1,3,1,7,1,0,0,1,5,2,0,7,3,1,0,0,1,9,3,6,3,0,0,11,4,0,2,3,0,2,5,1,1,4,2,5,2,1,4,4,0,4,2,1,0,3,5,1,8,6,3,3,8,4,2,1,0,0,4,1,2,5,0,8,3,0,3,2,9,2,2,1
5,1,4,1,3,4,2,2,3,5,8,3,4,0,1,8,7,14,13,1,3,3,3,2,9,13,6,0,0,4,0,4,7,1,8,4,7,0,2,2,8,9,5,1,2,0,5,5,8,7,0,4,1,6,1,1,7,1,2,2,5,2,2,6,5,10,3,1,5,0,0,0,2,5,1,3,11,4,0,5,7,0,2,9,1,0,0,0,4,4,9,10,0,6,3,0,1,4,2,2,1,5,10,0,0,0,7,2,7,2,0,3,7,8,3,4,3,8,2,8,0,0,2,11,4,4,0,1,1,8,1,2,0,3,3,8,1,9,4,9,2,2,2,4,7,6,3,4,11,11,2,9,5,5,1,4,1,1,6,1,5,5,1,2,6,6,2,3,2,5,5,11,2,3,1,6,0,10,0,6,1,3,5,1,0,10,1,9,3,1,0,2,1,1,5,1,3,1,5,1,3,3,1,5,1,7,5,3,5,4,14,9,6,3,1,0,8,1,6,2,0,0,1,7,2,0,12,1,0,0,2,1,4,8,4,6,4,0,6,3,9,1,1,5,10,10,2,0,9,3,4,2,2,2,6,2,5,1,1,0,4,13,5,8,13,4,0,4,2,2,4,0,3,0,1,7,5,0,10,3,2,1,1,12,4,5,2
6,2,6,4,1,6,1,1,10,5,5,1,9,1,6,3,8,14,3,3,7,6,9,4,7,3,6,1,0,4,0,2,12,1,10,6,9,0,4,5,12,5,22,5,7,0,4,6,12,11,1,2,5,7,3,5,12,0,5,3,1,5,2,5,10,5,8,1,8,0,1,2,5,11,0,2,6,1,6,6,7,1,0,11,3,3,1,2,4,3,13,8,3,6,7,2,1,15,8,5,4,4,3,0,0,7,9,4,3,1,1,4,9,7,1,12,2,8,0,6,0,3,5,17,15,8,1,11,9,4,0,5,1,1,6,3,6,12,11,5,3,2,2,14,6,10,1,6,7,6,6,8,6,5,6,4,1,1,8,0,13,6,3,9,7,10,8,9,3,7,11,11,4,0,1,2,5,3,1,10,3,0,0,1,1,5,0,10,3,5,1,9,1,1,6,2,3,3,10,3,7,4,1,13,2,10,6,2,12,8,10,6,7,2,7,0,9,2,5,5,0,0,2,4,4,0,7,8,2,0,6,5,9,8,4,9,1,2,11,15,7,0,0,3,8,12,5,2,11,4,11,4,1,11,7,9,12,7,2,4,1,9,9,3,11,4,3,8,0,10,9,1,3,3,2,15,3,0,7,16,7,4,4,4,5,8,2
7,3,4,11,7,8,10,2,6,11,4,3,7,5,4,4,13,4,1,1,7,12,15,6,4,7,9,2,1,6,0,6,5,7,5,14,3,0,6,7,12,7,7,3,5,5,7,9,6,5,6,9,8,5,5,9,7,0,11,4,0,11,2,9,12,0,7,1,13,0,0,4,7,9,2,5,0,1,9,14,4,0,2,2,7,6,3,4,11,3,5,3,7,8,9,6,2,10,13,7,3,9,9,0,1,11,7,14,8,4,1,7,6,7,6,2,1,7,5,5,0,4,1,8,7,7,1,10,11,8,1,2,0,1,7,5,7,4,6,5,7,5,3,9,6,8,4,15,1,6,6,5,5,10,13,11,1,7,5,1,7,4,14,5,14,10,11,12,12,11,11,5,10,4,3,3,2,1,0,8,8,2,0,1,0,5,0,6,8,3,1,10,2,3,14,0,4,6,9,6,10,2,1,13,3,6,10,8,9,16,4,5,9,2,7,2,11,4,6,9,0,0,19,4,7,0,5,11,4,1,16,7,6,10,7,9,7,2,1,11,9,1,0,3,6,3,11,11,8,4,6,15,3,7,8,17,12,16,13,9,0,6,6,0,3,12,4,14,1,10,16,1,3,6,2,10,2,1,3,10,8,3,14,5,5,13,7
8,12,5,9,13,1,11,3,2,10,2,10,5,10,12,1,9,1,2,8,4,10,6,9,2,3,5,5,4,4,3,1,3,10,3,7,2,0,18,8,1,1,2,7,7,2,6,3,4,1,16,10,14,6,4,11,4,0,8,9,1,6,2,8,5,0,5,0,1,1,0,8,13,1,13,5,2,0,9,3,2,0,11,1,9,9,4,1,13,1,1,0,14,9,8,9,3,2,4,15,11,4,3,0,5,10,3,6,0,3,3,6,2,0,9,1,0,2,3,10,1,9,4,2,4,8,6,6,7,6,4,12,0,7,13,9,11,3,3,3,4,10,2,3,4,2,6,6,0,5,3,6,10,12,9,12,11,5,11,3,4,3,10,14,5,4,12,6,6,6,5,2,7,3,18,3,1,0,0,3,12,5,0,4,0,1,0,1,4,7,7,8,3,13,6,4,12,7,8,12,13,16,8,1,6,10,2,11,4,4,0,6,11,11,16,6,3,6,7,8,0,0,3,8,10,1,0,6,11,1,11,15,4,0,0,3,4,4,0,2,5,2,3,9,2,1,12,10,2,7,7,12,9,5,6,7,2,5,14,9,0,0,1,0,0,6,4,3,3,8,6,3,14,8,7,1,6,0,1,2,17,8,9,1,11,5,12
9,16,8,3,5,0,15,7,1,4,2,12,3,14,10,0,2,0,0,10,4,6,2,7,0,0,4,7,3,7,6,2,0,8,3,1,0,3,10,6,0,1,0,10,11,1,2,0,0,0,7,3,4,0,13,6,1,0,7,11,2,5,9,2,2,0,8,1,0,0,4,15,7,0,15,6,1,0,10,2,0,1,7,0,8,11,13,5,2,2,1,0,9,8,2,13,4,0,1,5,13,4,0,1,8,4,1,6,2,7,8,13,0,0,10,0,0,1,7,2,0,12,10,0,0,3,10,4,0,5,3,12,0,8,3,3,9,0,1,3,7,9,0,1,2,5,7,1,0,0,1,1,3,3,3,6,11,12,4,5,0,4,3,3,0,0,1,3,6,2,0,0,8,5,9,7,0,0,1,2,12,17,0,11,0,0,2,0,3,6,16,0,9,13,1,6,9,12,0,14,2,8,5,0,8,3,0,9,0,2,0,2,5,12,4,11,1,12,0,10,0,0,8,8,6,0,1,3,19,2,1,6,1,1,2,0,5,2,0,2,4,8,3,10,2,0,4,6,0,5,2,4,12,0,1,0,1,1,2,9,1,0,3,0,0,1,8,3,4,3,0,8,16,9,8,0,2,0,0,1,3,4,3,0,6,4,8
10,6,7,3,7,0,1,11,0,1,0,4,0,8,3,0,0,0,0,14,0,2,1,8,0,0,0,11,7,4,14,5,1,11,0,0,0,0,2,8,0,0,0,8,6,0,3,0,0,0,6,0,0,0,9,4,0,2,2,5,3,0,17,9,0,0,7,8,0,2,12,7,0,1,5,2,0,0,1,0,0,4,9,0,7,2,15,14,1,3,0,0,2,1,2,5,15,0,2,0,4,1,0,0,17,1,0,3,1,16,7,4,0,0,2,0,0,0,11,1,0,5,7,0,0,1,13,1,1,0,11,3,2,10,0,2,3,0,0,0,6,3,4,1,0,1,6,1,0,0,1,0,0,1,1,2,9,8,2,16,0,2,3,2,1,0,1,0,0,1,0,0,5,4,3,2,3,0,0,0,2,12,0,12,1,0,4,0,1,2,4,0,14,8,0,12,8,6,0,5,1,1,14,0,12,0,0,4,0,0,0,0,0,9,0,10,0,7,0,3,0,0,2,1,6,1,0,3,3,2,0,2,0,0,0,0,7,8,0,0,3,11,11,4,0,0,1,7,0,11,0,0,8,0,0,0,0,0,0,4,3,0,1,0,0,0,5,0,10,0,0,8,4,5,10,0,3,0,0,0,0,4,0,0,2,0,0
