bin_index,CJY2020032201A18,CZY2020022401A01,DL2021040202A11,DWW2020112903A21,FRB2020032303B24,HSW2020031901A41,CLY20220515A02,JWK2020032803B08,JWY2020032802B10,KH2020121803B18,KH2020121803B29,KS2020033102A09,LD2020032201A23,LH2020032303A21,LHA2020072506_06,LHA2020073155_02,LHA20210713_11_17,LHC2020032003B02,LT2020032203A41,LXH2020032301A09,MMY2020032201A05,MW2020032702A09,MZH2020032801B02,RDP2020031902A10,SC2020032402A05,SC2020032402A08,SRZ2020032201B46,SXP2020040101A38,TS2020042403A02,WK2020032001B14,WL2020032803B01,WM20200412B11,WYH2020031101B01,WYH2020032502A14,X2020031901A10,YDJ2020032102A16,YHL2020032401A16,YWK2021051602A06,ZGR2020032702B05,ZJ2020120403B13,ZJ2020121003B18,ZLW2020032803B42,ZW2020032201A14,ZYJ2020032701A15,RZ4A
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0,3,9,0,1,6,0,6,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0
3,9,0,10,6,0,0,9,0,5,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,7,3,0,0,0,0,0,0,0,0,0
4,5,4,7,7,0,0,9,0,6,0,1,0,0,0,1,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,0,0,0,2,0,4
5,6,2,7,5,0,3,11,0,10,0,0,0,0,0,0,0,1,0,10,1,0,2,2,1,0,0,0,0,1,2,0,0,1,4,15,1,0,1,0,2,0,0,4,1,4
6,11,10,5,6,1,2,11,0,6,3,1,2,0,1,0,1,2,0,4,1,4,0,0,2,0,1,3,1,1,6,0,1,4,4,6,7,0,1,0,0,2,0,5,3,4
7,5,10,10,7,4,10,6,1,9,6,3,1,5,7,1,2,5,6,4,4,5,0,1,4,5,3,4,3,7,12,1,9,8,8,6,4,5,2,5,3,3,4,4,8,8
8,6,18,5,6,11,12,2,7,7,9,3,7,12,15,9,7,22,12,4,4,6,4,9,10,3,14,10,13,6,21,3,10,14,8,2,7,9,5,10,7,7,7,12,13,17
9,6,12,8,7,23,12,2,13,5,10,13,10,10,15,17,13,17,9,2,14,13,7,10,12,9,6,12,11,17,9,17,16,7,10,1,13,12,11,18,10,9,16,10,10,9
10,4,6,5,2,12,13,3,9,2,19,15,16,17,15,16,16,12,24,0,11,13,14,16,12,15,7,13,16,13,4,9,12,11,3,4,16,13,17,16,13,14,16,11,15,8
11,2,4,3,1,5,11,4,17,3,8,18,14,11,4,10,12,4,4,0,14,13,16,15,2,9,19,7,10,10,3,15,9,6,8,1,10,12,15,4,13,10,14,7,8,8
12,3,5,4,7,7,4,3,7,3,5,8,12,6,6,9,9,8,7,0,9,7,12,6,8,15,11,8,11,4,8,12,4,6,2,5,5,13,7,6,12,10,4,5,3,9
13,4,2,4,1,8,3,3,8,1,7,5,6,7,6,5,5,3,6,0,8,6,12,7,4,12,6,9,4,8,7,9,3,7,4,3,2,3,5,4,7,9,6,9,8,2
14,3,0,1,5,2,2,2,8,4,4,5,3,2,3,2,5,1,4,0,4,5,3,4,6,2,4,3,3,4,1,3,7,6,4,1,2,3,6,8,3,4,5,2,2,1
15,2,0,1,3,0,0,1,1,4,1,2,2,3,1,3,4,0,1,0,3,1,4,5,3,2,2,3,1,4,0,3,1,2,0,0,1,2,4,3,3,5,1,2,2,1
16,0,0,0,1,0,0,1,4,1,2,1,1,0,0,2,1,0,0,0,2,0,1,0,3,2,0,1,0,0,0,3,1,1,2,0,0,1,1,1,1,2,0,0,0,0
17,0,0,0,1,1,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2,2,2,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,1,0
18,1,1,1,1,1,2,1,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2,2,1,0
19,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
