bin_index,CJY2020032201A18,CZY2020022401A01,DL2021040202A11,DWW2020112903A21,FRB2020032303B24,HSW2020031901A41,CLY20220515D02,JWK2020032803B08,JWY2020032802B10,KH2020121803B18,KH2020121803B29,KS2020033102A09,LD2020032201A23,LH2020032303A21,LHA2020072506_06,LHA2020073155_02,LHA20210713_11_17,LHC2020032003B02,LT2020032203A41,LXH2020032301A09,MMY2020032201A05,MW2020032702A09,MZH2020032801B02,RDP2020031902A10,RZ4A,SC2020032402A05,SC2020032402A08,SRZ2020032201B46,SXP2020040101A38,TS2020042403A02,WK2020032001B14,WL2020032803B01,WM20200412B11,WYH2020031101B01,WYH2020032502A14,X2020031901A10,YDJ2020032102A16,YHL2020032401A16,YWK2021051602A06,ZGR2020032702B05,ZJ2020120403B13,ZJ2020121003B18,ZLW2020032803B42,ZW2020032201A14,ZYJ2020032701A15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,3,9,0,1,8,0,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0
3,7,0,12,7,0,0,9,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,6,8,3,0,0,0,0,0,0,0,0
4,10,1,3,7,0,0,7,0,7,0,1,0,0,0,1,0,0,0,9,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,2,0
5,6,2,8,2,0,3,9,0,8,1,0,0,0,0,0,1,0,0,9,1,0,1,0,1,2,1,1,0,0,1,2,0,1,1,4,15,1,0,1,0,1,1,0,4,2
6,9,8,4,9,0,2,12,0,7,1,1,2,0,1,1,0,2,1,5,1,2,0,0,1,3,1,0,2,1,2,5,0,0,5,2,5,6,0,0,1,0,3,1,3,2
7,5,11,9,6,5,7,4,1,7,7,3,0,4,7,4,4,3,4,6,4,5,1,3,5,6,4,5,7,4,7,9,1,9,10,7,8,4,4,4,1,2,3,4,5,6
8,5,16,8,6,11,12,3,9,6,8,4,7,11,14,7,10,17,13,2,9,8,3,10,11,13,2,9,10,13,9,20,6,11,11,9,1,6,7,4,11,8,7,6,14,12
9,4,13,5,5,21,11,2,12,4,19,14,12,13,14,15,13,20,12,4,9,14,7,13,11,13,11,8,11,9,16,11,14,16,11,10,2,14,13,15,22,11,12,15,11,15
10,4,8,5,2,11,13,3,16,2,11,11,14,17,14,16,16,10,21,0,14,15,17,13,9,7,13,8,11,14,10,4,15,10,8,3,4,15,13,17,12,15,15,17,6,11
11,4,3,4,4,5,11,5,10,2,7,18,15,8,6,12,11,8,1,0,14,9,13,14,5,10,10,17,9,10,8,3,15,9,5,7,1,10,12,12,4,11,8,11,9,8
12,2,6,4,4,7,5,3,8,2,5,7,11,7,5,5,5,7,9,0,6,6,10,5,6,10,18,12,7,11,7,8,7,3,7,3,3,5,13,4,6,11,7,6,6,4
13,3,2,3,2,9,3,1,7,3,5,6,5,5,5,4,6,4,5,0,7,6,12,5,4,3,6,4,7,4,5,7,7,7,7,3,4,2,2,6,6,5,8,6,6,7
14,4,0,1,5,1,1,2,5,5,4,4,3,2,3,3,2,1,4,0,4,5,4,6,7,1,1,4,5,3,6,1,2,3,4,4,2,2,3,5,7,5,5,3,2,1
15,1,0,1,1,0,1,2,4,2,2,2,1,3,1,3,4,0,0,0,2,0,2,2,2,2,3,1,1,1,1,0,5,0,1,1,0,1,2,4,2,1,2,1,2,2
16,0,0,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
17,0,0,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,2,0,0,1,2,0,0,1,0,2,1,1
18,2,0,1,0,1,1,2,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,1
19,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
