bin_index,g10037,g10255,g10585,g10586,g12220,g12528,g13068,g13450,g1365,g1443,g1455,g14874,g15423,g15480,g17027,g17371,g17746,g18220,g18330,g18647,g1871,g1874,g18759,g19438,g20710,g20716,g20785,g22247,g22548,g23205,g23217,g23616,g23638,g23652,g24189,g24697,g25979,g26241,g26312,g27723,g30560,g31116,g32013,g3884,g39156,g39498,g39578,g39936,g40417,g4127,g4156,g42185,g43709,g44474,g4888,g52195,g53161,g5472,g55300,g5540,g6069,g6071,g6182,g6207,g6581,g671,g6788,g7262,g8140,g8324,g8328,g8986
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,3,0,0,3,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,1,0,0,0,5,0,0,0,0,0,3,4,0,0,3,2,0,0,5,0,0,0,1,0,1,0,0,0,3,0,0,0,1,1,6,0,0,0,1,0,0,0
3,2,3,1,0,1,2,2,0,5,0,0,2,1,0,0,0,1,0,1,0,0,0,3,0,4,4,0,1,2,0,0,2,1,0,5,0,0,0,1,0,1,5,0,0,2,4,0,0,4,0,3,2,0,1,0,0,0,0,1,0,1,0,1,3,1,1,2,0,3,1,1,0
4,0,0,0,3,0,3,0,0,3,0,2,0,1,0,2,0,2,0,3,0,0,0,1,0,0,0,3,4,1,0,0,1,0,0,2,0,1,0,2,2,1,0,0,0,1,2,0,0,1,1,1,0,1,0,3,0,0,0,1,0,2,1,1,1,1,2,2,5,3,0,1,0
5,1,4,2,2,2,3,0,1,0,0,3,5,4,0,1,0,4,2,5,2,0,1,0,0,0,0,5,0,0,0,0,2,0,4,2,0,1,0,1,0,4,1,1,0,2,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,2,0,2,1,0,5,1,2,1,1,3,0
6,2,2,2,1,2,4,2,0,0,0,2,5,7,0,3,1,1,2,7,0,0,0,3,1,1,4,2,2,4,0,0,1,0,7,2,0,0,1,2,3,5,1,0,0,2,0,0,1,0,2,1,2,4,0,2,0,0,0,1,0,1,2,0,0,2,2,2,1,0,0,2,0
7,5,12,12,2,2,7,1,2,0,0,9,7,4,6,5,0,0,2,9,1,0,1,4,0,2,1,2,1,6,0,0,2,2,4,7,0,1,0,1,3,14,1,1,1,10,2,1,0,3,3,5,0,7,4,2,0,0,0,3,1,9,2,2,1,11,5,2,0,1,1,2,1
8,14,8,12,4,8,8,6,3,3,1,20,6,9,2,8,0,0,4,6,0,0,0,12,0,7,2,2,2,10,0,6,5,3,10,9,1,4,0,8,1,10,14,3,0,13,4,0,1,7,3,15,3,14,5,13,0,0,0,15,1,4,4,2,1,12,4,13,0,2,4,19,0
9,15,8,12,5,12,8,7,5,7,2,7,8,12,0,10,0,3,12,5,1,1,5,15,1,17,9,0,7,15,1,12,11,10,9,8,0,6,0,10,3,5,12,8,1,10,16,0,1,16,9,10,8,9,7,13,0,0,1,19,2,6,4,10,5,6,11,9,1,9,8,16,0
10,3,3,0,20,13,5,14,6,19,0,1,6,3,0,8,2,3,13,6,9,2,13,2,4,9,19,4,18,0,0,19,18,7,5,2,0,11,1,8,1,1,6,16,0,1,11,1,3,3,18,8,18,5,17,8,0,0,0,1,2,9,7,9,10,5,7,9,5,11,12,0,0
11,0,2,0,5,4,1,11,7,7,1,0,0,0,2,4,3,11,8,2,1,9,14,0,23,0,5,5,9,2,0,5,2,11,4,2,0,16,2,6,2,0,0,10,5,0,2,3,14,5,5,0,10,1,8,1,0,0,2,0,12,4,14,14,16,0,5,3,18,13,15,0,4
12,0,0,0,1,0,0,1,11,0,4,0,0,0,8,1,15,16,1,0,20,15,9,0,15,0,0,10,0,0,4,1,0,7,1,0,2,3,7,3,8,0,0,2,7,0,1,14,22,0,3,0,0,0,1,0,0,0,21,0,13,5,8,2,5,0,1,1,12,0,2,0,3
13,0,0,0,1,0,0,0,6,0,6,0,0,0,5,0,21,3,0,0,9,8,1,0,0,0,0,9,0,0,7,0,0,3,0,0,8,1,27,1,16,0,0,3,10,0,0,23,2,0,0,0,0,0,0,0,0,1,16,0,11,0,2,0,0,0,1,0,0,0,0,0,18
14,0,0,0,0,0,0,0,2,0,13,0,0,0,13,0,2,0,0,0,1,3,0,0,0,0,0,2,0,0,21,0,0,0,0,0,29,0,6,1,5,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,1,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,17
15,0,0,0,0,0,0,0,1,0,16,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
